data,precipitazioni(mm),temperatura(°C)
2018/03/17,0.4,10.86
2018/03/18,19.0,9.22
2018/03/19,16.0,7.4
2018/03/20,8.4,4.25
2018/03/21,0.0,6.31
2018/03/22,0.0,6.19
2018/03/23,0.0,5.9
2018/03/24,0.0,8.15
2018/03/25,0.0,7.6
2018/03/26,0.0,8.29
2018/03/27,0.0,10.18
2018/03/28,0.0,12.14
2018/03/29,0.0,12.02
2018/03/30,0.0,12.87
2018/03/31,0.0,13.08
2018/04/01,0.6,11.4
2018/04/02,0.2,13.44
2018/04/03,0.0,13.05
2018/04/04,0.0,12.4
2018/04/05,0.0,10.61
2018/04/06,0.0,12.77
2018/04/07,0.0,14.58
2018/04/08,0.0,15.48
2018/04/09,0.0,15.1
2018/04/10,0.0,11.82
2018/04/11,0.0,11.93
2018/04/12,0.0,10.46
2018/04/13,0.0,12.77
2018/04/14,0.0,13.1
2018/04/15,0.0,15.01
2018/04/16,0.0,13.68
2018/04/17,0.0,17.69
2018/04/18,0.0,19.18
2018/04/19,0.0,19.54
2018/04/20,0.0,19.3
2018/04/21,0.0,20.38
2018/04/22,0.0,21.51
2018/04/23,0.0,21.13
2018/04/24,0.0,20.84
2018/04/25,0.0,21.34
2018/04/26,0.0,21.18
2018/04/27,0.0,20.98
2018/04/28,0.0,18.6
2018/04/29,0.0,19.37
2018/04/30,0.0,20.71
2018/05/01,0.0,18.34
2018/05/02,0.0,14.49
2018/05/03,0.0,12.62
2018/05/04,0.0,15.25
2018/05/05,0.0,18.43
2018/05/06,0.0,19.19
2018/05/07,0.0,22.1
2018/05/08,0.0,20.06
2018/05/09,0.0,19.63
2018/05/10,0.0,18.27
2018/05/11,0.0,19.42
2018/05/12,0.0,19.77
2018/05/13,0.0,20.23
2018/05/14,0.0,18.92
2018/05/15,0.0,14.85
2018/05/16,0.0,13.03
2018/05/17,0.0,16.87
2018/05/18,0.0,18.2
2018/05/19,0.0,19.59
2018/05/20,0.0,20.6
2018/05/21,0.0,19.04
2018/05/22,0.0,18.21
2018/05/23,0.0,16.76
2018/05/24,0.0,19.74
2018/05/25,0.0,21.69
2018/05/26,0.0,23.46
2018/05/27,0.0,24.52
2018/05/28,0.0,23.9
2018/05/29,0.0,21.27
2018/05/30,0.0,22.98
2018/05/31,0.0,22.78
2018/06/01,0.0,21.79
2018/06/02,0.0,22.62
2018/06/03,0.0,23.45
2018/06/04,0.0,24.2
2018/06/05,0.0,20.71
2018/06/06,0.0,22.96
2018/06/07,0.0,22.98
2018/06/08,0.0,22.42
2018/06/09,0.0,20.85
2018/06/10,0.0,23.33
2018/06/11,0.0,24.69
2018/06/12,0.0,24.75
2018/06/13,0.0,23.39
2018/06/14,0.0,21.39
2018/06/15,0.0,23.54
2018/06/16,0.0,23.97
2018/06/17,0.0,25.04
2018/06/18,0.0,25.67
2018/06/19,0.0,26.07
2018/06/20,0.0,26.71
2018/06/21,0.0,27.04
2018/06/22,0.0,27.49
2018/06/23,0.0,24.67
2018/06/24,0.0,22.35
2018/06/25,0.0,22.51
2018/06/26,0.0,21.67
2018/06/27,0.0,23.31
2018/06/28,0.0,24.18
2018/06/29,0.0,24.02
2018/06/30,0.0,26.15
2018/07/01,0.0,28.11
2018/07/02,0.0,27.03
2018/07/03,0.0,26.4
2018/07/04,1.6,26.39
2018/07/05,1.6,25.62
2018/07/06,4.0,23.95
2018/07/07,0.0,24.81
2018/07/08,0.0,26.48
2018/07/09,0.0,26.43
2018/07/10,0.0,26.33
2018/07/11,0.0,26.37
2018/07/12,11.8,0.0
2018/07/13,0.0,24.06
2018/07/14,0.0,26.15
2018/07/15,0.0,26.34
2018/07/16,0.0,26.52
2018/07/17,25.4,22.0
2018/07/18,0.0,24.68
2018/07/19,0.0,26.98
2018/07/20,0.0,27.17
2018/07/21,0.0,26.98
2018/07/22,0.0,22.84
2018/07/23,0.0,25.18
2018/07/24,0.0,26.33
2018/07/25,0.0,27.83
2018/07/26,0.0,28.28
2018/07/27,0.2,27.51
2018/07/28,0.0,26.89
2018/07/29,0.0,26.98
2018/07/30,0.0,27.46
2018/07/31,0.0,29.07
2018/08/01,0.0,29.87
2018/08/02,0.0,30.03
2018/08/03,0.0,28.4
2018/08/04,0.0,29.42
2018/08/05,0.8,29.33
2018/08/06,0.0,29.81
2018/08/07,0.0,29.12
2018/08/08,0.0,27.9
2018/08/09,0.0,27.51
2018/08/10,23.4,25.6
2018/08/11,0.0,25.85
2018/08/12,0.0,26.78
2018/08/13,4.4,24.65
2018/08/14,1.6,23.42
2018/08/15,0.0,22.68
2018/08/16,0.0,24.73
2018/08/17,0.0,25.74
2018/08/18,0.0,26.05
2018/08/19,0.0,26.58
2018/08/20,0.0,27.05
2018/08/21,0.0,27.86
2018/08/22,0.0,27.42
2018/08/23,0.0,27.72
2018/08/24,0.0,27.73
2018/08/25,0.0,25.48
2018/08/26,14.0,22.03
2018/08/27,0.0,20.45
2018/08/28,0.0,20.78
2018/08/29,0.0,23.01
2018/08/30,0.0,23.86
2018/08/31,0.0,25.39
2018/09/01,36.6,20.97
2018/09/02,3.2,18.48
2018/09/03,0.0,18.86
2018/09/04,0.0,20.4
2018/09/05,0.0,21.49
2018/09/06,0.0,23.3
2018/09/07,0.2,22.1
2018/09/08,0.0,22.33
2018/09/09,0.0,23.22
2018/09/10,0.0,24.08
2018/09/11,0.0,24.7
2018/09/12,0.0,25.44
2018/09/13,0.0,25.58
2018/09/14,0.0,24.47
2018/09/15,0.0,24.24
2018/09/16,0.0,24.12
2018/09/17,0.0,24.18
2018/09/18,35.8,22.23
2018/09/19,0.0,23.45
2018/09/20,0.0,23.36
2018/09/21,0.0,23.7
2018/09/22,0.0,24.09
2018/09/23,0.0,24.48
2018/09/24,0.0,23.27
2018/09/25,0.0,22.37
2018/09/26,0.0,17.27
2018/09/27,0.0,14.85
2018/09/28,0.0,16.05
2018/09/29,0.0,18.17
2018/09/30,0.0,19.35
2018/10/01,0.0,17.96
2018/10/02,14.2,13.97
2018/10/03,0.0,15.37
2018/10/04,0.0,15.53
2018/10/05,0.0,16.68
2018/10/06,0.0,16.97
2018/10/07,2.8,15.8
2018/10/08,0.0,17.32
2018/10/09,0.0,18.85
2018/10/10,0.0,18.87
2018/10/11,0.0,19.07
2018/10/12,25.4,16.14
2018/10/13,0.0,17.52
2018/10/14,0.0,16.92
2018/10/15,0.0,16.4
2018/10/16,0.0,16.28
2018/10/17,0.6,17.05
2018/10/18,0.0,17.74
2018/10/19,0.0,18.74
2018/10/20,0.0,17.99
2018/10/21,0.0,17.27
2018/10/22,0.0,14.74
2018/10/23,0.0,13.0
2018/10/24,0.0,13.57
2018/10/25,0.0,20.77
2018/10/26,0.0,16.04
2018/10/27,0.0,15.65
2018/10/28,30.6,14.69
2018/10/29,10.6,16.04
2018/10/30,34.2,14.77
2018/10/31,0.0,13.81
2018/11/01,0.6,12.65
2018/11/02,26.8,12.67
2018/11/03,11.8,11.95
2018/11/04,0.6,13.5
2018/11/05,8.4,14.32
2018/11/06,3.4,15.1
2018/11/07,1.2,15.8
2018/11/08,2.4,14.55
2018/11/09,1.4,14.27
2018/11/10,3.4,14.15
2018/11/11,1.0,12.4
2018/11/12,0.0,13.53
2018/11/13,0.0,13.92
2018/11/14,0.0,13.73
2018/11/15,0.0,12.97
2018/11/16,0.0,12.47
2018/11/17,0.0,10.78
2018/11/18,0.0,8.62
2018/11/19,0.0,6.25
2018/11/20,1.0,5.11
2018/11/21,4.4,4.31
2018/11/22,2.6,5.75
2018/11/23,0.0,8.51
2018/11/24,12.8,8.91
2018/11/25,8.8,8.61
2018/11/26,0.4,9.05
2018/11/27,0.2,10.03
2018/11/28,0.0,9.28
2018/11/29,0.0,7.22
2018/11/30,0.0,3.84
2018/12/01,0.0,2.58
2018/12/02,0.0,3.92
2018/12/03,0.0,3.95
2018/12/04,0.0,7.47
2018/12/05,0.0,6.96
2018/12/06,0.2,6.39
2018/12/07,0.0,7.01
2018/12/08,0.0,4.94
2018/12/09,1.4,10.14
2018/12/10,0.0,6.5
2018/12/11,0.0,10.37
2018/12/12,0.0,6.31
2018/12/13,0.0,3.26
2018/12/14,0.0,2.43
2018/12/15,0.0,2.44
2018/12/16,0.0,0.6
2018/12/17,0.4,1.15
2018/12/18,0.8,1.93
2018/12/19,0.2,-0.56
2018/12/20,2.8,1.5
2018/12/21,3.0,2.3
2018/12/22,0.0,2.9
2018/12/23,0.0,5.2
2018/12/24,0.0,3.62
2018/12/25,0.2,4.99
2018/12/26,0.2,3.7
2018/12/27,0.0,0.37
2018/12/28,0.0,0.37
2018/12/29,0.2,3.37
2018/12/30,0.0,5.22
2018/12/31,0.0,6.24
2019/01/01,0.0,5.28
2019/01/02,0.0,3.08
2019/01/03,0.2,3.22
2019/01/04,0.0,3.23
2019/01/05,0.0,0.84
2019/01/06,0.0,1.3
2019/01/07,0.0,3.96
2019/01/08,0.0,3.23
2019/01/09,0.0,1.18
2019/01/10,0.0,3.33
2019/01/11,0.0,4.22
2019/01/12,0.0,2.24
2019/01/13,0.0,2.04
2019/01/14,0.0,2.8
2019/01/15,0.0,9.58
2019/01/16,0.0,7.06
2019/01/17,0.0,4.96
2019/01/18,1.8,5.15
2019/01/19,3.0,5.31
2019/01/20,1.2,4.17
2019/01/21,0.0,3.36
2019/01/22,0.0,2.62
2019/01/23,0.0,-1.52
2019/01/24,1.2,0.08
2019/01/25,3.4,2.07
2019/01/26,0.0,-0.21
2019/01/27,0.0,1.18
2019/01/28,0.0,1.03
2019/01/29,0.0,4.02
2019/01/30,0.0,3.05
2019/01/31,4.6,1.19
2019/02/01,0.0,0.69
2019/02/02,24.8,0.66
2019/02/03,17.0,1.83
2019/02/04,2.4,4.31
2019/02/05,0.0,6.19
2019/02/06,0.0,3.96
2019/02/07,0.0,4.39
2019/02/08,0.0,3.42
2019/02/09,0.0,5.15
2019/02/10,0.0,6.3
2019/02/11,0.0,6.87
2019/02/12,0.0,8.54
2019/02/13,0.0,9.68
2019/02/14,0.0,6.37
2019/02/15,0.0,6.97
2019/02/16,0.0,7.82
2019/02/17,0.0,7.51
2019/02/18,0.0,8.35
2019/02/19,0.0,9.35
2019/02/20,0.0,8.74
2019/02/21,0.0,7.19
2019/02/22,0.0,7.6
2019/02/23,0.0,11.81
2019/02/24,0.0,7.07
2019/02/25,0.0,5.35
2019/02/26,0.0,7.6
2019/02/27,0.0,10.84
2019/02/28,0.0,12.58
2019/03/01,0.0,11.77
2019/03/02,0.0,10.79
2019/03/03,0.0,11.47
2019/03/04,0.0,11.95
2019/03/05,0.2,9.46
2019/03/06,0.0,10.46
2019/03/07,0.0,11.09
2019/03/08,0.0,13.23
2019/03/09,0.0,12.72
2019/03/10,0.0,12.77
2019/03/11,0.0,12.39
2019/03/12,0.0,11.33
2019/03/13,0.0,9.71
2019/03/14,0.0,8.42
2019/03/15,0.0,10.12
2019/03/16,0.0,15.27
2019/03/17,0.0,15.79
2019/03/18,0.0,12.27
2019/03/19,5.4,11.37
2019/03/20,0.0,9.17
2019/03/21,0.0,9.41
2019/03/22,0.0,9.75
2019/03/23,0.0,11.61
2019/03/24,0.0,14.02
2019/03/25,0.0,15.74
2019/03/26,0.0,15.42
2019/03/27,0.0,10.66
2019/03/28,0.0,10.53
2019/03/29,0.0,10.88
2019/03/30,0.0,11.65
2019/03/31,0.0,13.32
2019/04/01,0.0,14.5
2019/04/02,0.0,15.03
2019/04/03,0.0,15.7
2019/04/04,1.0,13.51
2019/04/05,14.2,10.44
2019/04/06,0.0,12.11
2019/04/07,0.0,12.73
2019/04/08,2.0,10.42
2019/04/09,0.0,12.93
2019/04/10,0.0,13.64
2019/04/11,0.0,13.6
2019/04/12,21.8,11.88
2019/04/13,1.2,13.01
2019/04/14,0.0,11.82
2019/04/15,11.6,8.7
2019/04/16,0.0,13.05
2019/04/17,0.0,13.8
2019/04/18,0.0,15.54
2019/04/19,0.0,15.92
2019/04/20,0.0,15.91
2019/04/21,0.0,16.89
2019/04/22,0.0,17.14
2019/04/23,8.6,15.29
2019/04/24,15.0,13.22
2019/04/25,0.6,16.12
2019/04/26,1.6,14.55
2019/04/27,0.2,15.7
2019/04/28,0.0,16.06
2019/04/29,0.0,14.18
2019/04/30,0.2,11.16
2019/05/01,0.0,15.85
2019/05/02,0.0,17.57
2019/05/03,0.8,16.73
2019/05/04,2.4,14.9
2019/05/05,13.0,14.87
2019/05/06,38.0,8.33
2019/05/07,0.0,12.7
2019/05/08,0.0,14.22
2019/05/09,6.4,12.28
2019/05/10,1.8,14.7
2019/05/11,0.0,17.57
2019/05/12,4.6,15.96
2019/05/13,1.6,12.67
2019/05/14,0.0,15.35
2019/05/15,0.0,14.88
2019/05/16,0.2,10.29
2019/05/17,0.0,14.27
2019/05/18,5.2,14.87
2019/05/19,17.4,12.97
2019/05/20,9.4,12.84
2019/05/21,2.4,14.44
2019/05/22,0.0,18.54
2019/05/23,0.0,19.44
2019/05/24,0.0,20.33
2019/05/25,0.0,20.44
2019/05/26,1.8,18.47
2019/05/27,5.2,17.93
2019/05/28,9.0,15.89
2019/05/29,33.0,16.16
2019/05/30,5.2,15.38
2019/05/31,0.0,18.3
2019/06/01,0.0,19.95
2019/06/02,0.0,21.75
2019/06/03,0.0,24.39
2019/06/04,0.0,25.17
2019/06/05,0.0,25.12
2019/06/06,0.0,24.56
2019/06/07,0.0,22.76
2019/06/08,0.0,22.95
2019/06/09,0.0,24.37
2019/06/10,0.0,22.13
2019/06/11,0.2,24.29
2019/06/12,0.0,24.6
2019/06/13,0.0,24.97
2019/06/14,0.0,22.72
2019/06/15,0.0,24.4
2019/06/16,0.0,24.53
2019/06/17,0.0,24.79
2019/06/18,0.0,25.95
2019/06/19,0.0,26.61
2019/06/20,0.0,26.7
2019/06/21,0.0,26.03
2019/06/22,0.0,25.71
2019/06/23,4.2,21.59
2019/06/24,0.0,24.53
2019/06/25,0.0,27.24
2019/06/26,0.0,28.85
2019/06/27,0.0,29.93
2019/06/28,0.0,31.5
2019/06/29,0.0,31.15
2019/06/30,0.0,29.14
2019/07/01,0.0,29.54
2019/07/02,0.2,27.29
2019/07/03,0.0,28.54
2019/07/04,4.0,26.25
2019/07/05,0.0,25.95
2019/07/06,0.0,28.38
2019/07/07,0.0,28.88
2019/07/08,2.6,27.55
2019/07/09,0.0,27.78
2019/07/10,7.8,23.33
2019/07/11,0.0,24.33
2019/07/12,0.0,23.95
2019/07/13,0.0,25.46
2019/07/14,0.0,25.37
2019/07/15,1.2,23.59
2019/07/16,16.4,19.33
2019/07/17,0.0,23.1
2019/07/18,0.0,25.18
2019/07/19,1.4,23.43
2019/07/20,0.0,25.56
2019/07/21,0.0,27.06
2019/07/22,0.0,27.92
2019/07/23,0.0,28.42
2019/07/24,0.0,29.39
2019/07/25,0.0,0.0
2019/07/26,0.0,30.92
2019/07/27,0.0,30.47
2019/07/28,19.2,23.76
2019/07/29,0.0,23.44
2019/07/30,0.0,26.7
2019/07/31,0.0,27.12
2019/08/01,0.0,26.54
2019/08/02,0.0,27.33
2019/08/03,4.0,23.31
2019/08/04,0.0,24.44
2019/08/05,0.0,25.71
2019/08/06,0.0,27.01
2019/08/07,0.0,26.95
2019/08/08,0.2,24.98
2019/08/09,0.0,25.92
2019/08/10,0.0,28.1
2019/08/11,0.0,28.98
2019/08/12,0.0,28.73
2019/08/13,0.0,25.39
2019/08/14,0.0,24.89
2019/08/15,0.0,24.29
2019/08/16,0.0,24.26
2019/08/17,0.0,24.4
2019/08/18,0.0,25.13
2019/08/19,0.0,26.03
2019/08/20,0.0,26.54
2019/08/21,0.0,26.95
2019/08/22,0.0,26.71
2019/08/23,3.2,25.41
2019/08/24,0.0,23.82
2019/08/25,6.6,25.65
2019/08/26,0.0,25.71
2019/08/27,0.0,26.65
2019/08/28,0.0,27.06
2019/08/29,1.4,22.8
2019/08/30,0.0,25.24
2019/08/31,0.0,27.2
2019/09/01,0.0,26.56
2019/09/02,0.0,26.42
2019/09/03,0.0,25.09
2019/09/04,0.0,24.37
2019/09/05,0.0,23.2
2019/09/06,0.0,22.28
2019/09/07,8.0,17.17
2019/09/08,0.0,19.42
2019/09/09,16.0,16.83
2019/09/10,0.0,18.44
2019/09/11,4.8,18.61
2019/09/12,0.0,20.86
2019/09/13,0.0,22.5
2019/09/14,0.0,22.95
2019/09/15,0.0,22.99
2019/09/16,0.0,23.0
2019/09/17,0.0,24.13
2019/09/18,0.0,24.77
2019/09/19,30.0,22.24
2019/09/20,0.0,17.57
2019/09/21,0.0,17.79
2019/09/22,0.0,17.36
2019/09/23,7.4,16.0
2019/09/24,1.2,15.86
2019/09/25,0.0,17.88
2019/09/26,0.0,19.12
2019/09/27,0.0,19.42
2019/09/28,0.0,20.49
2019/09/29,0.0,21.82
2019/09/30,0.0,21.17
2019/10/01,0.0,21.83
2019/10/02,0.0,21.19
2019/10/03,0.6,20.53
2019/10/04,0.2,16.96
2019/10/05,0.0,14.25
2019/10/06,0.0,16.2
2019/10/07,10.6,15.73
2019/10/08,19.8,14.31
2019/10/09,0.0,15.0
2019/10/10,0.0,15.17
2019/10/11,0.0,14.92
2019/10/12,0.0,14.17
2019/10/13,0.0,15.28
2019/10/14,0.0,15.48
2019/10/15,0.4,17.32
2019/10/16,6.4,17.12
2019/10/17,0.0,15.98
2019/10/18,0.0,15.26
2019/10/19,1.6,15.77
2019/10/20,0.4,16.3
2019/10/21,7.8,17.17
2019/10/22,18.8,18.58
2019/10/23,0.0,18.37
2019/10/24,0.0,18.77
2019/10/25,31.0,16.19
2019/10/26,3.2,17.14
2019/10/27,0.0,16.33
2019/10/28,0.0,16.37
2019/10/29,0.0,15.62
2019/10/30,7.4,15.46
2019/10/31,0.2,13.48
2019/11/01,0.0,11.52
2019/11/02,0.0,11.96
2019/11/03,2.8,10.26
2019/11/04,36.8,10.53
2019/11/05,0.2,12.28
2019/11/06,4.2,12.8
2019/11/07,3.4,9.99
2019/11/08,5.6,8.78
2019/11/09,18.6,10.8
2019/11/10,1.0,9.9
2019/11/11,0.0,8.03
2019/11/12,10.2,7.6
2019/11/13,5.6,8.15
2019/11/14,0.2,8.99
2019/11/15,0.4,7.26
2019/11/16,11.6,7.58
2019/11/17,12.6,7.17
2019/11/18,16.4,6.93
2019/11/19,17.8,6.59
2019/11/20,28.2,7.74
2019/11/21,0.2,9.23
2019/11/22,0.0,10.12
2019/11/23,1.2,9.88
2019/11/24,14.2,11.75
2019/11/25,22.0,12.57
2019/11/26,0.8,13.0
2019/11/27,0.0,10.51
2019/11/28,17.2,9.4
2019/11/29,0.0,10.12
2019/11/30,0.2,6.62
2019/12/01,0.0,5.74
2019/12/02,9.8,7.06
2019/12/03,7.4,7.51
2019/12/04,0.0,8.28
2019/12/05,0.0,4.78
2019/12/06,0.0,3.14
2019/12/07,0.0,3.8
2019/12/08,0.0,6.38
2019/12/09,0.0,6.28
2019/12/10,0.0,7.15
2019/12/11,0.0,7.89
2019/12/12,0.4,3.7
2019/12/13,7.4,1.89
2019/12/14,4.8,2.25
2019/12/15,0.0,5.99
2019/12/16,0.0,3.95
2019/12/17,0.0,6.37
2019/12/18,0.4,7.32
2019/12/19,0.0,8.48
2019/12/20,1.4,9.45
2019/12/21,1.6,9.4
2019/12/22,19.0,9.5
2019/12/23,18.8,10.31
2019/12/24,0.0,12.03
2019/12/25,0.0,9.07
2019/12/26,0.0,7.94
2019/12/27,0.0,5.43
2019/12/28,0.0,4.01
2019/12/29,0.0,3.19
2019/12/30,0.0,3.8
2019/12/31,0.0,3.43
2020/01/01,0.0,3.0
2020/01/02,0.0,4.35
2020/01/03,0.0,2.13
2020/01/04,0.0,4.87
2020/01/05,0.0,6.18
2020/01/06,0.0,5.77
2020/01/07,0.2,1.39
2020/01/08,0.0,0.66
2020/01/09,0.2,0.12
2020/01/10,0.0,-0.25
2020/01/11,0.2,4.62
2020/01/12,0.0,5.33
2020/01/13,0.0,3.64
2020/01/14,0.0,2.02
2020/01/15,0.0,3.35
2020/01/16,0.4,5.38
2020/01/17,0.0,5.4
2020/01/18,7.2,5.02
2020/01/19,14.2,5.65
2020/01/20,0.2,3.31
2020/01/21,0.0,5.7
2020/01/22,0.0,3.03
2020/01/23,0.0,3.47
2020/01/24,0.0,4.15
2020/01/25,0.0,4.3
2020/01/26,1.2,5.35
2020/01/27,0.0,6.65
2020/01/28,0.0,0.0
2020/01/29,0.0,6.87
2020/01/30,0.0,8.16
2020/01/31,0.0,7.21
2020/02/01,0.0,7.65
2020/02/02,0.8,8.23
2020/02/03,0.2,6.96
2020/02/04,0.0,6.66
2020/02/05,0.2,8.9
2020/02/06,0.0,8.75
2020/02/07,0.0,6.27
2020/02/08,0.0,6.14
2020/02/09,0.0,6.43
2020/02/10,0.0,5.6
2020/02/11,0.0,6.75
2020/02/12,0.0,11.75
2020/02/13,0.0,10.64
2020/02/14,0.0,7.91
2020/02/15,0.0,9.12
2020/02/16,0.0,8.77
2020/02/17,0.0,9.5
2020/02/18,0.0,9.93
2020/02/19,0.0,10.48
2020/02/20,0.0,8.57
2020/02/21,0.0,8.38
2020/02/22,0.0,8.6
2020/02/23,0.0,8.62
2020/02/24,0.0,9.91
2020/02/25,0.0,11.84
2020/02/26,0.0,11.31
2020/02/27,0.0,9.8
2020/02/28,0.0,8.17
2020/02/29,0.0,10.15
2020/03/01,0.0,7.95
2020/03/02,3.0,6.51
2020/03/03,17.8,5.81
2020/03/04,8.8,8.29
2020/03/05,0.0,8.42
2020/03/06,22.4,6.42
2020/03/07,1.2,6.95
2020/03/08,0.0,10.03
2020/03/09,0.0,9.39
2020/03/10,0.2,6.95
2020/03/11,0.0,10.01
2020/03/12,0.0,12.63
2020/03/13,0.0,12.78
2020/03/14,0.0,14.88
2020/03/15,0.2,10.81
2020/03/16,0.0,10.05
2020/03/17,0.0,10.1
2020/03/18,0.0,11.21
2020/03/19,0.0,12.81
2020/03/20,0.0,14.22
2020/03/21,0.0,13.08
2020/03/22,0.0,13.65
2020/03/23,0.0,11.47
2020/03/24,0.0,6.65
2020/03/25,0.0,6.51
2020/03/26,0.0,6.46
2020/03/27,0.8,4.11
2020/03/28,0.0,8.65
2020/03/29,0.0,13.03
2020/03/30,0.0,14.15
2020/03/31,1.4,11.19
2020/04/01,0.2,6.95
2020/04/02,0.0,6.69
2020/04/03,0.0,8.03
2020/04/04,0.0,10.58
2020/04/05,0.0,12.67
2020/04/06,0.0,13.43
2020/04/07,0.0,14.34
2020/04/08,0.0,15.58
2020/04/09,0.0,15.21
2020/04/10,0.0,16.1
2020/04/11,0.0,17.38
2020/04/12,0.0,18.42
2020/04/13,0.0,18.39
2020/04/14,0.0,17.76
2020/04/15,0.0,15.59
2020/04/16,0.0,12.15
2020/04/17,0.0,14.0
2020/04/18,0.0,16.73
2020/04/19,0.0,18.05
2020/04/20,2.2,17.53
2020/04/21,8.2,13.33
2020/04/22,1.0,12.52
2020/04/23,0.0,15.05
2020/04/24,0.0,15.77
2020/04/25,0.0,17.57
2020/04/26,0.0,19.03
2020/04/27,0.0,18.53
2020/04/28,0.0,18.56
2020/04/29,1.0,16.26
2020/04/30,0.0,17.87
2020/05/01,0.0,17.38
2020/05/02,2.4,16.68
2020/05/03,0.2,19.98
2020/05/04,0.0,19.23
2020/05/05,0.0,18.81
2020/05/06,0.0,18.92
2020/05/07,0.0,18.32
2020/05/08,0.0,19.12
2020/05/09,0.0,20.92
2020/05/10,0.0,21.23
2020/05/11,1.2,20.75
2020/05/12,1.6,17.58
2020/05/13,0.4,18.2
2020/05/14,0.0,15.62
2020/05/15,1.2,19.47
2020/05/16,1.8,18.23
2020/05/17,10.0,17.36
2020/05/18,0.6,19.71
2020/05/19,0.2,22.0
2020/05/20,0.4,19.73
2020/05/21,0.0,21.33
2020/05/22,0.0,22.31
2020/05/23,0.0,23.18
2020/05/24,0.0,23.32
2020/05/25,0.0,21.67
2020/05/26,0.0,21.9
2020/05/27,0.0,20.98
2020/05/28,0.0,20.77
2020/05/29,3.2,21.24
2020/05/30,0.2,17.43
2020/05/31,0.0,19.25
2020/06/01,0.0,19.63
2020/06/02,0.0,21.99
2020/06/03,0.0,23.5
2020/06/04,0.0,22.15
2020/06/05,19.4,17.21
2020/06/06,0.6,20.87
2020/06/07,4.8,21.07
2020/06/08,3.8,19.89
2020/06/09,2.8,18.06
2020/06/10,5.8,18.25
2020/06/11,2.2,16.96
2020/06/12,1.6,17.9
2020/06/13,0.0,20.15
2020/06/14,20.8,20.35
2020/06/15,4.0,21.6
2020/06/16,0.0,22.4
2020/06/17,0.0,22.95
2020/06/18,6.4,20.06
2020/06/19,0.8,20.75
2020/06/20,3.2,20.36
2020/06/21,0.0,22.15
2020/06/22,0.0,24.66
2020/06/23,0.0,25.98
2020/06/24,0.0,27.12
2020/06/25,0.0,26.31
2020/06/26,0.0,24.98
2020/06/27,0.0,25.05
2020/06/28,0.0,26.09
2020/06/29,0.0,26.94
2020/06/30,0.0,27.59
2020/07/01,0.0,26.95
2020/07/02,10.6,26.42
2020/07/03,15.6,25.04
2020/07/04,24.4,23.58
2020/07/05,2.2,23.13
2020/07/06,0.0,25.73
2020/07/07,0.0,27.4
2020/07/08,0.0,23.56
2020/07/09,0.0,23.67
2020/07/10,0.0,25.69
2020/07/11,0.0,27.1
2020/07/12,0.0,25.34
2020/07/13,0.0,23.88
2020/07/14,0.0,23.1
2020/07/15,0.0,22.76
2020/07/16,0.0,23.15
2020/07/17,0.0,24.45
